StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,MostRecentDisturbanceTGID,HistoricalDisturbanceTGID,ReturnInterval,SpinupDuration,MaxAgeForLastCycle
Puget Lowland,Washington,,Forest: Tanoak/Laurel Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],300,5,1000
Puget Lowland,Washington,,Forest: Tropical Hardwoods Group,Fire: High Severity [Type],Fire: High Severity [Type],125,5,1000
Puget Lowland,Washington,,Forest: Tropical Hardwoods Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],125,5,1000
Puget Lowland,Washington,,Forest: Western Larch Group,Fire: High Severity [Type],Fire: High Severity [Type],150,5,1000
Puget Lowland,Washington,,Forest: Western Larch Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],150,5,1000
Puget Lowland,Washington,,Forest: Western Oak Group,Fire: High Severity [Type],Fire: High Severity [Type],150,5,1000
Puget Lowland,Washington,,Forest: Western Oak Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],150,5,1000
Puget Lowland,Washington,,Forest: Western White Pine Group,Fire: High Severity [Type],Fire: High Severity [Type],300,5,1000
Puget Lowland,Washington,,Forest: Western White Pine Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],300,5,1000
Puget Lowland,Washington,,Forest: White/Red/Jack Pine Group,Fire: High Severity [Type],Fire: High Severity [Type],125,5,1000
Puget Lowland,Washington,,Forest: White/Red/Jack Pine Group,Forest Harvest: Forest Clearcut [Type],Fire: High Severity [Type],125,5,1000
