"DefaultSPUID","DefaultForestTypeID","A","B","a_nonmerch","b_nonmerch","k_nonmerch","cap_nonmerch","a_sap","b_sap","k_sap","cap_sap","a1","a2","a3","b1","b2","b3","c1","c2","c3","min_volume","max_volume","low_stemwood_prop","high_stemwood_prop","low_stembark_prop","high_stembark_prop","low_branches_prop","high_branches_prop","low_foliage_prop","high_foliage_prop"
11,3,1.09126,0.87747,12.9014,-1.09937,0.96569,2.5045,1,0,0,1,-1.53309,0.0004838,-0.10021,-1.51436,-0.0010555,0.09021,-2.16807,-0.001592,-0.13189,0.27,637.21,0.65357,0.72857,0.11945,0.11199,0.16696,0.14655,0.06002,0.01289
12,1,0.96358,0.84637,8.4289,-0.88761,0.90756,3.132,1,0,0,1,-1.59961,0.0003825,-0.07311,-1.48365,0.0006139,-0.04852,-1.08538,-0.000539,-0.17303,0.35,544.47,0.60958,0.67813,0.10893,0.10635,0.12748,0.15819,0.15401,0.05733
12,2,0.93019,0.87594,11.0393,-0.96703,0.92738,2.5659,1,0,0,1,-1.73606,-0.0001953,-0.02379,-1.7069,0.0001618,0.05054,-1.9764,-0.001473,-0.0425,1.34,460.5,0.6686,0.68496,0.11272,0.09532,0.1332,0.18263,0.08548,0.0371
12,3,0.95795,0.89434,14.9295,-1.09124,0.96228,2.5203,1,0,0,1,-1.66669,-0.0008911,-0.02896,-2.00085,0.0001276,0.13249,-2.73902,-0.002214,-0.0061,0.44,594.07,0.70776,0.68989,0.12723,0.06377,0.11979,0.23482,0.04523,0.01151
13,1,1.01805,0.85546,5.8451,-0.74302,0.82185,2.3544,1,0,0,1,-1.48982,0.0008329,-0.11016,-1.03143,0.0009308,-0.16934,-0.72347,0.000872,-0.24868,0.24,275.4,0.56224,0.67494,0.10562,0.10285,0.15145,0.11971,0.18069,0.10249
13,2,1.20187,0.8159,13.9149,-1.09406,0.95371,2.2719,1,0,0,1,-1.75272,5.38e-07,-0.01681,-1.86218,-0.0001284,0.07908,-1.45428,-0.000985,-0.14922,0.45,503.08,0.65474,0.68937,0.11028,0.10762,0.11629,0.1643,0.11869,0.03871
13,3,1.27211,0.82777,13.1353,-1.12674,0.97217,2.1927,1,0,0,1,-1.45192,0.0003892,-0.09604,-2.25498,-0.0011334,0.22496,-1.90142,-0.001735,-0.15536,0.28,620.18,0.68153,0.71412,0.13601,0.11468,0.10389,0.15782,0.07857,0.01337
14,1,0.89342,0.84625,7.778,-1.0055,0.9632,2.4178,1,0,0,1,-1.69756,-0.0004413,-0.01629,-1.11363,-0.0007713,-0.05521,-0.94761,-0.001812,-0.07405,0.24,247.27,0.54926,0.66031,0.0979,0.09908,0.16457,0.13203,0.18827,0.10858
14,2,1.20187,0.8159,13.9149,-1.09406,0.95371,2.2719,1,0,0,1,-1.75272,5.38e-07,-0.01681,-1.86218,-0.0001284,0.07908,-1.45428,-0.000985,-0.14922,0.45,503.08,0.65474,0.68937,0.11028,0.10762,0.11629,0.1643,0.11869,0.03871
14,3,1.27211,0.82777,13.1353,-1.12674,0.97217,2.1927,1,0,0,1,-1.45192,0.0003892,-0.09604,-2.25498,-0.0011334,0.22496,-1.90142,-0.001735,-0.15536,0.28,620.18,0.68153,0.71412,0.13601,0.11468,0.10389,0.15782,0.07857,0.01337
15,1,1.27288,0.79342,11.7138,-1.0521,0.95771,2.3222,1,0,0,1,-1.85912,-0.0001829,-0.01005,-1.31976,0.000925,-0.11767,-1.22183,-0.001118,-0.10972,0.24,835.86,0.61774,0.69331,0.09466,0.08664,0.13586,0.18172,0.15175,0.03832
15,2,1.20187,0.8159,13.9149,-1.09406,0.95371,2.2719,1,0,0,1,-1.75272,5.38e-07,-0.01681,-1.86218,-0.0001284,0.07908,-1.45428,-0.000985,-0.14922,0.45,503.08,0.65474,0.68937,0.11028,0.10762,0.11629,0.1643,0.11869,0.03871
15,3,1.27211,0.82777,13.1353,-1.12674,0.97217,2.1927,1,0,0,1,-1.45192,0.0003892,-0.09604,-2.25498,-0.0011334,0.22496,-1.90142,-0.001735,-0.15536,0.28,620.18,0.68153,0.71412,0.13601,0.11468,0.10389,0.15782,0.07857,0.01337
16,1,1.16983,0.82829,10.2846,-1.07204,0.96557,2.8347,1,0,0,1,-1.35903,0.0003799,-0.17083,-0.77134,0.0012207,-0.28648,0.01825,0.000103,-0.44448,0.1867,789.03,0.50696,0.74267,0.09832,0.0823,0.14631,0.13285,0.2484,0.04219
16,2,0.80565,0.89764,10.0828,-0.95933,0.90824,2.8134,1,0,0,1,-1.43443,0.0005594,-0.09638,-1.6754,-0.0012512,0.02485,-0.36983,-0.001363,-0.36034,0.2286,436.34,0.5622,0.74752,0.11422,0.1264,0.10965,0.09433,0.21393,0.03175
16,3,1.01227,0.85338,8.435,-0.9326,0.91563,3.812,1,0,0,1,-1.48192,0.000342,-0.04878,-1.23425,-0.0007836,-0.0667,-0.45135,-0.001044,-0.45535,0.2979,571.15,0.56568,0.7442,0.1185,0.15075,0.14728,0.09061,0.16854,0.01445
17,1,0.96358,0.84637,8.4289,-0.88761,0.90756,3.132,1,0,0,1,-1.59961,0.0003825,-0.07311,-1.48365,0.0006139,-0.04852,-1.08538,-0.000539,-0.17303,0.35,544.47,0.60958,0.67813,0.10893,0.10635,0.12748,0.15819,0.15401,0.05733
17,2,0.93019,0.87594,11.0393,-0.96703,0.92738,2.5659,1,0,0,1,-1.73606,-0.0001953,-0.02379,-1.7069,0.0001618,0.05054,-1.9764,-0.001473,-0.0425,1.34,460.5,0.6686,0.68496,0.11272,0.09532,0.1332,0.18263,0.08548,0.0371
17,3,0.95795,0.89434,14.9295,-1.09124,0.96228,2.5203,1,0,0,1,-1.66669,-0.0008911,-0.02896,-2.00085,0.0001276,0.13249,-2.73902,-0.002214,-0.0061,0.44,594.07,0.70776,0.68989,0.12723,0.06377,0.11979,0.23482,0.04523,0.01151
18,1,1.16983,0.82829,10.2846,-1.07204,0.96557,2.8347,1,0,0,1,-1.35903,0.0003799,-0.17083,-0.77134,0.0012207,-0.28648,0.01825,0.000103,-0.44448,0.1867,789.03,0.50696,0.74267,0.09832,0.0823,0.14631,0.13285,0.2484,0.04219
