DefaultSPUId,DefaultGenusId,A,B,a_nonmerch,b_nonmerch,k_nonmerch,cap_nonmerch,a_sap,b_sap,k_sap,cap_sap,a1,a2,a3,b1,b2,b3,c1,c2,c3,min_volume,max_volume,low_stemwood_prop,high_stemwood_prop,low_stembark_prop,high_stembark_prop,low_branches_prop,high_branches_prop,low_foliage_prop,high_foliage_prop
5,7,0.48259,0.94872,4.695,-0.35084,0,1.902,0,0,1,1,0.03082,0.0019831,-0.40421,2.62257,0.0035381,-0.86966,2.02319,-0.001372,-0.64154,37.444,263.22,0.40055,0.62609,0.09779,0.11353,0.24183,0.16908,0.25983,0.0913
5,8,0.51769,0.95311,5.4317,-0.87278,0.93305,2.7531,0,0,1,1,-1.37852,-0.0002833,-0.07308,0.66309,0.0011636,-0.4132,0.02152,0.000177,-0.38042,0.136,1061.85,0.36245,0.63558,0.08102,0.07121,0.3578,0.23797,0.19872,0.05523
5,9,0.46018,1.00503,10.5506,-0.68295,0.6479,4.546,0,0,1,1,-1.10872,-0.000336,-0.07683,-1.24138,-3.80E-05,-0.01811,-2.1116,-0.000333,-0.12419,0.323,532.21,0.59921,0.68054,0.17387,0.11586,0.16799,0.17199,0.05892,0.03162
5,10,0.47996,1.04962,28.0736,-1.08083,0.87654,3.6618,0,0,1,1,-1.33108,0.0004005,-0.10022,0.24172,0.0012314,-0.23479,-1.68313,-0.000606,-0.17238,0.139,574.22,0.44811,0.55571,0.10048,0.09767,0.38863,0.32228,0.06278,0.02434
5,11,0.57376,1.00659,62.7808,-1.53446,0.9814,3.8239,0,0,1,1,-0.90669,0.0005002,-0.20744,-0.44096,0.0002716,-0.13922,-1.74146,-0.000339,-0.18432,0.186,566.04,0.51864,0.66727,0.14888,0.09586,0.26537,0.2069,0.06711,0.02997
5,12,0.4596,1.06025,20.5125,-0.94943,0.79683,5.7138,0,0,1,1,-1.07048,-0.0004306,-0.17344,-1.02771,-7.47E-05,0.0152,-1.98413,-0.001335,-0.10936,0.292,652.11,0.57527,0.67182,0.14771,0.05645,0.21112,0.2527,0.0659,0.01903
5,13,0.62334,1.00408,34.9904,-1.26013,0.9581,4.6099,0,0,1,1,-1.06008,0.0003532,-0.17214,-0.27151,0.0005985,-0.16298,-2.00553,-0.000188,-0.18345,0.139,652.11,0.51418,0.63689,0.1344,0.09093,0.30018,0.24913,0.05125,0.02306
6,1,0.54205,0.95926,6.3376,-0.96963,0.94595,2.6882,0,0,1,1,-1.25592,-7.37E-05,-0.12877,0.63824,0.0019226,-0.44043,1.7897,0.001799,-0.75068,0.35,353.65,0.26071,0.64645,0.05983,0.0841,0.23596,0.18107,0.44351,0.08837
6,2,0.68534,0.90325,6.8726,-1.14279,0.98005,3.7668,0,0,1,1,-1.39756,-0.0011456,-0.0551,-1.81374,-0.00232,0.13899,-0.92392,-0.002357,-0.14076,0.334,643.48,0.5733,0.82787,0.12918,0.06854,0.11787,0.0746,0.17966,0.02899
6,3,0.49751,0.99523,18.8755,-0.99697,0.87301,5.1566,0,0,1,1,-0.08254,0.0007479,-0.32955,-0.95874,1.6e-06,-0.06249,0.78129,-0.001257,-0.493,4.5,324.12,0.40179,0.6561,0.17677,0.11397,0.13382,0.17519,0.28762,0.05474
6,4,0.42618,1.0114,100,-2.23209,1.00752,1.0181,0,0,1,1,-1.0311,0.0001827,-0.15361,-0.52355,0.000252,-0.14671,-0.97805,0.000231,-0.22893,2.632,1061.85,0.51616,0.65611,0.13478,0.09734,0.2271,0.18262,0.12196,0.06392
6,6,0.99737,0.85785,14.743,-1.0799,0.9127,3.8067,0,0,1,1,-0.84113,0.0009756,-0.27945,-0.03091,0.0021202,-0.36371,0.89458,0.004079,-0.80086,1.956,315.35,0.4437,0.69625,0.11149,0.08145,0.21335,0.16158,0.23146,0.06072
6,7,0.48259,0.94872,4.695,-0.35084,0,1.902,0,0,1,1,0.03082,0.0019831,-0.40421,2.62257,0.0035381,-0.86966,2.02319,-0.001372,-0.64154,37.444,263.22,0.40055,0.62609,0.09779,0.11353,0.24183,0.16908,0.25983,0.0913
6,8,0.69629,0.90747,5.4317,-0.87278,0.93305,2.7531,0,0,1,1,-1.57902,-0.0017031,-0.00279,-0.28979,-0.0002893,-0.1984,0.75879,-0.000681,-0.46723,0.334,643.48,0.36783,0.76539,0.07544,0.0518,0.19748,0.13161,0.35925,0.0512
6,9,0.65741,0.93909,10.5506,-0.68295,0.6479,4.546,0,0,1,1,-0.24451,0.0016588,-0.31012,-2.51216,-0.0008075,0.25812,-1.2198,0.000509,-0.26345,6.805,472.97,0.59684,0.62526,0.21984,0.15837,0.09103,0.17013,0.09229,0.04623
6,10,0.68571,0.96981,28.0736,-1.08083,0.87654,3.6618,0,0,1,1,-0.43932,0.0014028,-0.31298,1.0073,0.0023417,-0.48237,2.29843,0.005182,-1.09025,4.236,294.65,0.31532,0.62356,0.10194,0.10197,0.2984,0.21745,0.28434,0.05702
