DistTypeId,DistTypeName,OnOffSwitch,Description,IsStandReplacing,IsMultiYear,MultiYearCount
284,"Spruce Budworm in AB, SK, MB, NWT, Severe annual defoliation, 6yr cumulative defoliation 46-55%",1,"Spruce Budworm in AB, SK, MB, NWT, Severe annual defoliation, 6yr cumulative defoliation 46-55%",0,0,0
285,"Spruce Budworm in AB, SK, MB, NWT, Severe annual defoliation, 6yr cumulative defoliation 36-45%",1,"Spruce Budworm in AB, SK, MB, NWT, Severe annual defoliation, 6yr cumulative defoliation 36-45%",0,0,0
286,"Spruce Budworm in AB, SK, MB, NWT, Severe annual defoliation, 6yr cumulative defoliation 26-35%",1,"Spruce Budworm in AB, SK, MB, NWT, Severe annual defoliation, 6yr cumulative defoliation 26-35%",0,0,0
287,"Spruce Budworm in AB, SK, MB, NWT, Severe annual defoliation, 6yr cumulative defoliation 16-25%",1,"Spruce Budworm in AB, SK, MB, NWT, Severe annual defoliation, 6yr cumulative defoliation 16-25%",0,0,0
288,"Spruce Budworm in AB, SK, MB, NWT, Severe annual defoliation, 6yr cumulative defoliation < 16%",1,"Spruce Budworm in AB, SK, MB, NWT, Severe annual defoliation, 6yr cumulative defoliation < 16%",0,0,0
289,"Spruce Budworm in AB, SK, MB, NWT, Moderate annual defoliation, 6yr cumulative defoliation > 85%",1,"Spruce Budworm in AB, SK, MB, NWT, Moderate annual defoliation, 6yr cumulative defoliation > 85%",0,0,0
290,"Spruce Budworm in AB, SK, MB, NWT, Moderate annual defoliation, 6yr cumulative defoliation 76-85%",1,"Spruce Budworm in AB, SK, MB, NWT, Moderate annual defoliation, 6yr cumulative defoliation 76-85%",0,0,0
291,"Spruce Budworm in AB, SK, MB, NWT, Moderate annual defoliation, 6yr cumulative defoliation 66-75%",1,"Spruce Budworm in AB, SK, MB, NWT, Moderate annual defoliation, 6yr cumulative defoliation 66-75%",0,0,0
292,"Spruce Budworm in AB, SK, MB, NWT, Moderate annual defoliation, 6yr cumulative defoliation 56-65%",1,"Spruce Budworm in AB, SK, MB, NWT, Moderate annual defoliation, 6yr cumulative defoliation 56-65%",0,0,0
293,"Spruce Budworm in AB, SK, MB, NWT, Moderate annual defoliation, 6yr cumulative defoliation 46-55%",1,"Spruce Budworm in AB, SK, MB, NWT, Moderate annual defoliation, 6yr cumulative defoliation 46-55%",0,0,0
294,"Spruce Budworm in AB, SK, MB, NWT, Moderate annual defoliation, 6yr cumulative defoliation 36-45%",1,"Spruce Budworm in AB, SK, MB, NWT, Moderate annual defoliation, 6yr cumulative defoliation 36-45%",0,0,0
295,"Spruce Budworm in AB, SK, MB, NWT, Moderate annual defoliation, 6yr cumulative defoliation 26-35%",1,"Spruce Budworm in AB, SK, MB, NWT, Moderate annual defoliation, 6yr cumulative defoliation 26-35%",0,0,0
296,"Spruce Budworm in AB, SK, MB, NWT, Moderate annual defoliation, 6yr cumulative defoliation 16-25%",1,"Spruce Budworm in AB, SK, MB, NWT, Moderate annual defoliation, 6yr cumulative defoliation 16-25%",0,0,0
297,"Spruce Budworm in AB, SK, MB, NWT, Moderate annual defoliation, 6yr cumulative defoliation < 16%",1,"Spruce Budworm in AB, SK, MB, NWT, Moderate annual defoliation, 6yr cumulative defoliation < 16%",0,0,0
298,"Spruce Budworm in AB, SK, MB, NWT, Light annual defoliation, 6yr cumulative defoliation > 85%",1,"Spruce Budworm in AB, SK, MB, NWT, Light annual defoliation, 6yr cumulative defoliation > 85%",0,0,0
299,"Spruce Budworm in AB, SK, MB, NWT, Light annual defoliation, 6yr cumulative defoliation 76-85%",1,"Spruce Budworm in AB, SK, MB, NWT, Light annual defoliation, 6yr cumulative defoliation 76-85%",0,0,0
300,"Spruce Budworm in AB, SK, MB, NWT, Light annual defoliation, 6yr cumulative defoliation 66-75%",1,"Spruce Budworm in AB, SK, MB, NWT, Light annual defoliation, 6yr cumulative defoliation 66-75%",0,0,0
301,"Spruce Budworm in AB, SK, MB, NWT, Light annual defoliation, 6yr cumulative defoliation 56-65%",1,"Spruce Budworm in AB, SK, MB, NWT, Light annual defoliation, 6yr cumulative defoliation 56-65%",0,0,0
302,"Spruce Budworm in AB, SK, MB, NWT, Light annual defoliation, 6yr cumulative defoliation 46-55%",1,"Spruce Budworm in AB, SK, MB, NWT, Light annual defoliation, 6yr cumulative defoliation 46-55%",0,0,0
303,"Spruce Budworm in AB, SK, MB, NWT, Light annual defoliation, 6yr cumulative defoliation 36-45%",1,"Spruce Budworm in AB, SK, MB, NWT, Light annual defoliation, 6yr cumulative defoliation 36-45%",0,0,0
304,"Spruce Budworm in AB, SK, MB, NWT, Light annual defoliation, 6yr cumulative defoliation 26-35%",1,"Spruce Budworm in AB, SK, MB, NWT, Light annual defoliation, 6yr cumulative defoliation 26-35%",0,0,0
305,"Spruce Budworm in AB, SK, MB, NWT, Light annual defoliation, 6yr cumulative defoliation 16-25%",1,"Spruce Budworm in AB, SK, MB, NWT, Light annual defoliation, 6yr cumulative defoliation 16-25%",0,0,0
306,"Spruce Budworm in AB, SK, MB, NWT, Light annual defoliation, 6yr cumulative defoliation < 16%",1,"Spruce Budworm in AB, SK, MB, NWT, Light annual defoliation, 6yr cumulative defoliation < 16%",0,0,0
