DefaultSPUId,DefaultSpeciesTypeId,A,B,a_nonmerch,b_nonmerch,k_nonmerch,cap_nonmerch,a_sap,b_sap,k_sap,cap_sap,a1,a2,a3,b1,b2,b3,c1,c2,c3,min_volume,max_volume,low_stemwood_prop,high_stemwood_prop,low_stembark_prop,high_stembark_prop,low_branches_prop,high_branches_prop,low_foliage_prop,high_foliage_prop
3,74,1.0608,0.85596,12.641,-1.19872,0.97793,1.8768,0.285,-0.97536,0.99441,1.02325,-1.89528,-0.00017,0.00072,-0.96097,7e-04,-0.03514,-1.9712,-0.00048,-0.14027,0.53,425.88,0.61715,0.62269,0.09285,0.08743,0.22239,0.25969,0.06761,0.03019
3,76,1.0647,0.87171,5.855,-0.35893,0,4.1513,0.285,-0.97536,0.99441,1.02325,-1.64494,7e-05,-0.01577,-0.74249,0.00319,-0.16444,-0.8736,0.00062,-0.19333,0.743,123.13,0.54244,0.59745,0.10186,0.10776,0.19412,0.18952,0.16157,0.10528
3,86,1.2059,0.83609,5.6472,-0.85349,0.93176,1.8758,0,0,1,1,-1.85834,-0.000337,-0.00649,-1.50842,2e-05,0.03656,-2.145,-0.0012,-0.07446,0.48,362.28,0.66991,0.6856,0.1033,0.09105,0.15774,0.18992,0.06906,0.03343
3,93,1.5119,0.8097,22.6137,-1.274,0.98144,1.996,0,0,1,1,-1.90715,-0.000683,-0.01519,-2.55804,-0.00105,0.29661,-1.4609,-0.00059,-0.30459,0.28,496.33,0.70854,0.70751,0.10257,0.06812,0.08987,0.20594,0.09902,0.01843
3,171,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0.8046,0.89351,10.635,-0.83681,0.878,5.251,0.35,-1.2107,0.99933,1.01224,-1.51885,-0.00018,-0.0618,-0.50409,-0.00028,-0.15096,0.7094,-0.00075,-0.36064,0.177,323.76,0.35811,0.63625,0.07084,0.09187,0.16876,0.14636,0.40229,0.12552
4,6,1.216,0.80791,5.84,-0.39191,0,4.6207,0.35,-1.2107,0.99933,1.01224,-1.51897,0.000102,-0.07273,0.29423,0.00099,-0.34605,1.2291,-0.00227,-0.39512,0.805,347.42,0.27575,0.64508,0.05313,0.0955,0.20152,0.1607,0.4696,0.09872
4,13,1.0175,0.82995,6.1983,-0.88217,0.94853,2.1142,0,0,1,1,-1.73568,-6.40E-05,-0.0263,-1.66042,-0.00023,0.03481,-0.7041,0.00056,-0.34668,1.23,835.86,0.61239,0.70688,0.10287,0.09894,0.12401,0.13999,0.16074,0.05419
4,20,0.9765,0.85057,2.3721,-0.58826,0.89493,1.5785,0,0,1,1,-2.13905,-0.000459,0.01813,-1.2029,-7.00E-05,-0.09094,-0.5516,0.00093,-0.3485,8.59,506.8,0.62751,0.72791,0.07717,0.07605,0.14855,0.11949,0.14676,0.07654
4,29,0.7652,0.88423,10.521,-0.7341,0.74082,5.3591,1.671,-1.44118,0.99769,1.02808,-1.76822,0.000192,0.0083,-0.75827,0.00019,-0.1164,0.9171,-0.00023,-0.41637,0.312,332.58,0.35625,0.60598,0.06164,0.11569,0.13742,0.15379,0.44469,0.12454
4,44,1.1018,0.83494,11.4145,-1.08262,0.99561,2.3292,0,0,1,1,-1.86554,0.000196,-0.06568,-1.38585,0.00074,-0.10448,-1.6028,-0.00099,-0.11724,0.32,263.16,0.66039,0.73372,0.09161,0.08283,0.13874,0.12435,0.10926,0.0591
4,63,1.1179,0.82147,13.0391,-1.07068,0.95229,2.5254,0,0,1,1,-1.40387,0.000245,-0.05723,-1.59301,-0.00019,-0.01962,-1.9031,-0.00134,-0.12052,0.32,576.63,0.64858,0.71989,0.1448,0.1415,0.1276,0.11556,0.07903,0.02305
4,65,0.9666,0.86661,6.2892,-0.82426,0.9099,2.5863,0,0,1,1,-1.23466,-1.10E-05,-0.09545,-1.36951,2e-04,-0.05295,-2.5826,-0.00152,-0.01924,1.11,620.18,0.64571,0.72074,0.15805,0.11268,0.14919,0.14785,0.04705,0.01874
4,74,1.0608,0.85596,12.641,-1.19872,0.97793,1.8768,0.285,-0.97536,0.99441,1.02325,-1.89528,-0.00017,0.00072,-0.96097,7e-04,-0.03514,-1.9712,-0.00048,-0.14027,0.53,425.88,0.61715,0.62269,0.09285,0.08743,0.22239,0.25969,0.06761,0.03019
4,76,1.0647,0.87171,5.855,-0.35893,0,4.1513,0.285,-0.97536,0.99441,1.02325,-1.64494,7e-05,-0.01577,-0.74249,0.00319,-0.16444,-0.8736,0.00062,-0.19333,0.743,123.13,0.54244,0.59745,0.10186,0.10776,0.19412,0.18952,0.16157,0.10528
4,86,1.2059,0.83609,5.6472,-0.85349,0.93176,1.8758,0,0,1,1,-1.85834,-0.000337,-0.00649,-1.50842,2e-05,0.03656,-2.145,-0.0012,-0.07446,0.48,362.28,0.66991,0.6856,0.1033,0.09105,0.15774,0.18992,0.06906,0.03343
4,93,1.5119,0.8097,22.6137,-1.274,0.98144,1.996,0,0,1,1,-1.90715,-0.000683,-0.01519,-2.55804,-0.00105,0.29661,-1.4609,-0.00059,-0.30459,0.28,496.33,0.70854,0.70751,0.10257,0.06812,0.08987,0.20594,0.09902,0.01843
4,153,2.91,0.64885,33.3279,-1.52852,1.051,1.9152,0,0,1,1,-1.29305,0.000417,-0.06675,-1.62733,-0.001,0.00488,-2.4031,-0.00353,-0.01772,0.35,121.39,0.65313,0.69382,0.16028,0.145,0.12932,0.12366,0.05727,0.03753
4,171,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,0.4793,0.98552,6.3456,-0.96325,0.94668,2.5803,0,0,1,1,-1.83548,-0.000927,0.00559,0.25108,-2.00E-04,-0.27296,-0.3252,-0.00111,-0.25684,0.28,278.47,0.40847,0.66148,0.06576,0.08413,0.33338,0.17212,0.19239,0.08227
5,3,0.4234,1.00058,8.7808,-1.08116,0.97859,3.1605,0,0,1,1,-0.73919,-3.20E-05,-0.20693,-0.72746,0.00088,-0.16774,-0.628,0.00034,-0.30008,0.241,694.41,0.49272,0.66142,0.16699,0.07964,0.18033,0.19649,0.15996,0.06245
5,4,3.0793,0.71065,8.7808,-1.08116,0.97859,3.1605,0,0,1,1,-1.6099,0.003891,-0.21125,-1.22572,0.00574,-0.27263,-2.1212,0.00438,-0.10029,1.469,125.34,0.70745,0.71251,0.09588,0.08291,0.12588,0.11378,0.07079,0.09081
5,6,0.4955,0.97436,4.8019,-0.61954,0.71869,3.7192,0,0,1,1,-1.91747,-0.000139,-0.00938,0.76532,0.00055,-0.40578,-0.0598,0.00011,-0.36639,0.218,517.65,0.3625,0.68747,0.05246,0.08868,0.39864,0.15465,0.18641,0.06919
5,7,0.4955,0.97436,4.8019,-0.61954,0.71869,3.7192,0,0,1,1,-1.91747,-0.000139,-0.00938,0.76532,0.00055,-0.40578,-0.0598,0.00011,-0.36639,0.218,517.65,0.3625,0.68747,0.05246,0.08868,0.39864,0.15465,0.18641,0.06919
5,8,0.4234,1.00058,8.7808,-1.08116,0.97859,3.1605,0,0,1,1,-0.73919,-3.20E-05,-0.20693,-0.72746,0.00088,-0.16774,-0.628,0.00034,-0.30008,0.241,694.41,0.49272,0.66142,0.16699,0.07964,0.18033,0.19649,0.15996,0.06245
5,13,0.5877,0.92318,7.759,-1.23236,0.98793,4.5127,0,0,1,1,-1.34458,-0.000159,-0.0774,0.44127,0.00084,-0.31765,-0.049,0.00068,-0.40567,0.317,827.38,0.38064,0.61967,0.08717,0.08417,0.34814,0.2286,0.18405,0.06755
5,14,1.5091,0.75374,17.2658,-1.24321,0.96862,2.7198,0,0,1,1,-1.69667,0.001102,-0.16514,-0.18272,0.00052,-0.24941,-1.3884,-0.00071,-0.16467,0.419,298.8,0.53357,0.70833,0.07402,0.07021,0.29166,0.16565,0.10075,0.05581
