"Age","Volume","StateClassId"
1,18.9777530868867,"Forest: Redwood Group"
2,37.7666743754918,"Forest: Redwood Group"
3,56.3686427736014,"Forest: Redwood Group"
4,74.785518493557,"Forest: Redwood Group"
5,93.0191432382782,"Forest: Redwood Group"
6,111.071340385434,"Forest: Redwood Group"
7,128.943915169783,"Forest: Redwood Group"
8,146.638654863697,"Forest: Redwood Group"
9,164.157328955892,"Forest: Redwood Group"
10,181.501689328375,"Forest: Redwood Group"
11,198.673470431638,"Forest: Redwood Group"
12,215.6743894581,"Forest: Redwood Group"
13,232.506146513832,"Forest: Redwood Group"
14,249.170424788566,"Forest: Redwood Group"
15,265.668890724016,"Forest: Redwood Group"
16,282.003194180524,"Forest: Redwood Group"
17,298.174968602049,"Forest: Redwood Group"
18,314.185831179509,"Forest: Redwood Group"
19,330.037383012504,"Forest: Redwood Group"
20,345.731209269427,"Forest: Redwood Group"
21,361.268879345982,"Forest: Redwood Group"
22,376.651947022124,"Forest: Redwood Group"
23,391.881950617441,"Forest: Redwood Group"
24,406.960413144984,"Forest: Redwood Group"
25,421.888842463571,"Forest: Redwood Group"
26,436.668731428574,"Forest: Redwood Group"
27,451.301558041207,"Forest: Redwood Group"
28,465.788785596324,"Forest: Redwood Group"
29,480.131862828754,"Forest: Redwood Group"
30,494.332224058173,"Forest: Redwood Group"
31,508.391289332538,"Forest: Redwood Group"
32,522.310464570091,"Forest: Redwood Group"
33,536.091141699956,"Forest: Redwood Group"
34,549.73469880133,"Forest: Redwood Group"
35,563.242500241292,"Forest: Redwood Group"
36,576.615896811244,"Forest: Redwood Group"
37,589.856225861986,"Forest: Redwood Group"
38,602.964811437458,"Forest: Redwood Group"
39,615.94296440714,"Forest: Redwood Group"
40,628.791982597146,"Forest: Redwood Group"
41,641.513150920001,"Forest: Redwood Group"
42,654.107741503139,"Forest: Redwood Group"
43,666.577013816113,"Forest: Redwood Group"
44,678.922214796546,"Forest: Redwood Group"
45,691.144578974824,"Forest: Redwood Group"
46,703.24532859755,"Forest: Redwood Group"
47,715.22567374977,"Forest: Redwood Group"
48,727.086812475984,"Forest: Redwood Group"
49,738.829930899947,"Forest: Redwood Group"
50,750.456203343289,"Forest: Redwood Group"
51,761.966792442941,"Forest: Redwood Group"
52,773.362849267408,"Forest: Redwood Group"
53,784.645513431867,"Forest: Redwood Group"
